ID_PEDIDO,ID_PROVEEDOR
0,35704638
1,78938304
2,49445688
3,60627506
4,91889379
5,45267567
6,77023377
7,09198760
8,54235762
9,30636712
10,22117533
11,15153081
12,43440733
13,14949906
14,14841408
15,16658028
16,24363037
17,53964991
18,15227737
19,68283681
20,69551987
21,21506017
22,03799307
23,94915754
24,93905626
25,05223695
26,09128422
27,95790459
28,93563505
29,42973379
30,93362337
31,24814409
32,84674715
33,08974297
34,39413925
35,62651769
36,47006003
37,82251116
38,58122075
39,30618039
40,17740159
41,26191492
42,00016841
43,52357978
44,74088553
45,74273317
46,01667622
47,75786922
48,58014561
49,61090835
50,61140530
51,49366532
52,31164252
53,02087672
54,89686201
55,73469650
56,75612368
57,88594798
58,60126276
59,40979212
60,17823326
61,59217251
62,18649550
63,75265366
64,65694398
65,77314529
66,33177489
67,36910908
68,49182569
69,85558724
70,02557649
71,46761378
72,76278204
73,88539072
74,50376735
75,94643954
76,57683591
77,96372616
78,38247095
79,40827346
80,23216853
81,31575362
82,55455350
83,59013341
84,68238148
85,94315820
86,48910804
87,62442541
88,72584262
89,69732065
90,10857250
91,59779872
92,89484487
93,28950523
94,26166551
95,11109853
96,54794030
97,01890877
98,13545420
99,97402084
100,47189874
101,87369700
102,40086194
103,51539092
104,57704999
105,49151718
106,40951904
107,04834502
108,09299436
109,61698031
110,68850739
111,13332112
112,95607580
113,40556345
114,54253278
115,14185236
116,26292885
117,96038703
118,63590821
119,69335990
120,41945919
121,74220571
122,91073839
123,56532098
124,63850109
125,74367467
126,82556204
127,75499167
128,63826135
129,03606223
130,39519764
131,63555783
132,76785436
133,20796310
134,13170011
135,78462441
136,90321092
137,35617235
138,22755070
139,15968074
140,91539441
141,94386127
142,59443346
143,87480429
144,82892685
145,40330440
146,88984865
147,89087220
148,94555776
149,62250603
150,46460325
151,53263810
152,45798719
153,08751492
154,86789417
155,74101498
156,07042447
157,39405074
158,78863620
159,85085817
160,96820759
161,85428492
162,45764035
163,44918668
164,59473107
165,57741635
166,78206540
167,74053445
168,90542121
169,31692748
170,89402313
171,81144150
172,28193197
173,22000255
174,31551632
175,42283935
176,11214151
177,15290281
178,51260804
179,79323826
180,07114656
181,06666477
182,61469907
183,76949234
184,50430673
185,25109184
186,88121208
187,88617060
188,35366638
189,71717005
190,83418372
191,81811083
192,08756893
193,30514133
194,24156950
195,06007126
196,51500702
197,63379525
198,84383983
199,00591928
200,25008432
201,98354641
202,71633794
203,69694967
204,10985908
205,44127800
206,84718464
207,66051725
208,03932957
209,25267044
210,95444079
211,31085755
212,49646597
213,19520292
214,99791162
215,74166824
216,99851590
217,71624846
218,69139048
219,09510593
220,54412132
221,81084326
222,12862191
223,41541814
224,87760767
225,52076206
226,67177486
227,92237902
228,36522712
229,92468245
230,08261465
231,78255531
232,11775393
233,40272658
234,30286627
235,06401658
236,38949265
237,51037413
238,34837474
239,79100915
240,46068286
241,64833934
242,79542449
243,30386013
244,10846872
245,56886351
246,63094183
247,05737260
248,74694747
249,59695509
250,70302974
251,69657269
252,76281358
253,28813743
254,01418620
255,61224728
256,47328341
257,88849065
258,68330507
259,20127831
260,38680229
261,55838245
262,12972548
263,54138186
264,34348031
265,84464385
266,58122075
267,03350409
268,80740117
269,71069487
270,32438680
271,29305858
272,78421349
273,55855297
274,67579631
275,60187253
276,56730272
277,17972666
278,30642423
279,71306667
